Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

01:30:01 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:32:24 PM 20001     16283   3748.00      0.00 16722872 6480576   3.29  python3
01:32:25 PM 20001     16283   1238.00      0.00 16723896 6525508   3.32  python3
01:32:26 PM 20001     16283   1202.00      0.00 16725176 6566656   3.34  python3
01:32:27 PM 20001     16283   1531.00      0.00 16726200 6609652   3.36  python3
01:32:28 PM 20001     16283   1254.00      0.00 16727480 6650876   3.38  python3
01:32:29 PM 20001     16283   1201.00      0.00 16728504 6693868   3.40  python3
01:32:30 PM 20001     16283   1264.00      0.00 16729784 6735868   3.42  python3
01:32:31 PM 20001     16283   1193.00      0.00 16730808 6778536   3.45  python3
01:32:32 PM 20001     16283   1877.00      0.00 16732088 6820664   3.47  python3
01:32:33 PM 20001     16283   1209.00      0.00 16733112 6861084   3.49  python3
01:32:34 PM 20001     16283   1319.00      0.00 16734392 6905652   3.51  python3
01:32:35 PM 20001     16283   1128.00      0.00 16735416 6945560   3.53  python3
01:32:36 PM 20001     16283   1501.00      0.00 16736696 6989748   3.55  python3
01:32:37 PM 20001     16283   1274.00      0.00 16737720 7028828   3.57  python3
01:32:38 PM 20001     16283   8651.00      0.00 16739000 7072784   3.60  python3
01:32:39 PM 20001     16283   1445.00      0.00 16740024 7113372   3.62  python3
01:32:40 PM 20001     16283   1165.00      0.00 16741048 7156464   3.64  python3
01:32:41 PM 20001     16283   1194.00      0.00 16742328 7197600   3.66  python3
01:32:42 PM 20001     16283   1180.00      0.00 16743352 7237412   3.68  python3
01:32:43 PM 20001     16283   1789.00      0.00 16744632 7281368   3.70  python3
01:32:44 PM 20001     16283   1204.00      0.00 16745656 7321124   3.72  python3
01:32:45 PM 20001     16283   1418.00      0.00 16746936 7362576   3.74  python3
01:32:46 PM 20001     16283   1153.00      0.00 16747960 7404768   3.76  python3
01:32:47 PM 20001     16283   1293.00      0.00 16749240 7446032   3.79  python3
01:32:48 PM 20001     16283   1145.00      0.00 16750264 7488160   3.81  python3
01:32:49 PM 20001     16283   1316.00      0.00 16751544 7529936   3.83  python3
01:32:50 PM 20001     16283   1517.00      0.00 16752568 7572648   3.85  python3
01:32:51 PM 20001     16283   1230.00      0.00 16753848 7614160   3.87  python3
01:32:52 PM 20001     16283   1189.00      0.00 16754872 7653784   3.89  python3
01:32:53 PM 20001     16283   1228.00      0.00 16755896 7696108   3.91  python3
01:32:54 PM 20001     16283   1995.00      0.00 16757176 7737564   3.93  python3
01:32:55 PM 20001     16283   1158.00      0.00 16758200 7778336   3.95  python3
