Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

03:59:15 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:01:18 PM 20001     18280    607.00      0.00 26709708 10728768   5.45  python3
04:01:19 PM 20001     18280    519.00      0.00 26709708 11787584   5.99  python3
04:01:20 PM 20001     18280    522.00      0.00 26709708 12854592   6.54  python3
04:01:21 PM 20001     18280    786.00      0.00 26709708 13929792   7.08  python3
04:01:22 PM 20001     18280   1148.00      0.00 26709708 14865728   7.56  python3
04:01:23 PM 20001     18280  26150.00      0.00 26739364 14976788   7.61  python3
04:01:24 PM 20001     18280  18796.00      0.00 26778044 15088816   7.67  python3
04:01:25 PM 20001     18280  19025.00      0.00 26815968 15196844   7.73  python3
04:01:26 PM 20001     18280  17591.00      0.00 26853396 15303904   7.78  python3
04:01:27 PM 20001     18280  18645.00      0.00 26892236 15413892   7.84  python3
04:01:28 PM 20001     18280  19217.00      0.00 26929104 15514372   7.89  python3
04:01:29 PM 20001     18280 260269.00      0.00 26951804 15578228   7.92  python3
04:01:30 PM 20001     18280  94855.00      0.00 26957220 15592148   7.93  python3
04:01:31 PM 20001     18280  14756.00      0.00 26994104 15688308   7.98  python3
04:01:32 PM 20001     18280  14600.00      0.00 27031580 15787008   8.03  python3
04:01:33 PM 20001     18280  14936.00      0.00 27068052 15886624   8.08  python3
04:01:34 PM 20001     18280  14874.00      0.00 27105592 15987132   8.13  python3
04:01:35 PM 20001     18280  14416.00      0.00 27142976 16087092   8.18  python3
04:01:36 PM 20001     18280  14008.00      0.00 27180216 16188480   8.23  python3
04:01:37 PM 20001     18280  13947.00      0.00 27218632 16290148   8.28  python3
04:01:38 PM 20001     18280  13999.00      0.00 27256452 16390288   8.33  python3
04:01:39 PM 20001     18280  13679.00      0.00 27294756 16490976   8.38  python3
04:01:40 PM 20001     18280  14716.00      0.00 27336748 16589128   8.43  python3
04:01:41 PM 20001     18280  12328.00      0.00 27369724 16678224   8.48  python3
04:01:42 PM 20001     18280  13032.00      0.00 27406820 16771292   8.53  python3
04:01:43 PM 20001     18280  13713.00      0.00 27445404 16872860   8.58  python3
04:01:44 PM 20001     18280  12648.00      0.00 27481516 16966092   8.63  python3
04:01:45 PM 20001     18280   5178.00      0.00 27497100 17006380   8.65  python3
04:01:46 PM 20001     18280   6717.00      0.00 27517232 17056692   8.67  python3
04:01:47 PM 20001     18280  12481.00      0.00 27554640 17144688   8.72  python3
04:01:48 PM 20001     18280  13324.00      0.00 27592560 17238444   8.76  python3
04:01:49 PM 20001     18280  12918.00      0.00 27630868 17331552   8.81  python3
04:01:50 PM 20001     18280  12501.00      0.00 27669432 17423588   8.86  python3
04:01:51 PM 20001     18280  12678.00      0.00 27706936 17513204   8.90  python3
04:01:52 PM 20001     18280  12928.00      0.00 27745656 17605228   8.95  python3
04:01:53 PM 20001     18280  12313.00      0.00 27782672 17696012   9.00  python3
04:01:54 PM 20001     18280  12785.00      0.00 27821236 17786232   9.04  python3
04:01:55 PM 20001     18280  12048.00      0.00 27859388 17875720   9.09  python3
04:01:56 PM 20001     18280  16554.00      0.00 27915148 17975264   9.14  python3
04:01:57 PM 20001     18280  10249.00      0.00 27946636 18053216   9.18  python3
04:01:58 PM 20001     18280  12327.00      0.00 27983072 18139320   9.22  python3
04:01:59 PM 20001     18280  10907.00      0.00 31763604 11317404   5.75  python3
04:02:00 PM 20001     18280    565.00      0.00 31763604 12374172   6.29  python3
04:02:01 PM 20001     18280    732.00      0.00 31763604 13428892   6.83  python3
04:02:02 PM 20001     18280    519.00      0.00 31763604 14481564   7.36  python3
04:02:03 PM 20001     18280    528.71      0.00 31763604 15536284   7.90  python3
04:02:04 PM 20001     18280    540.00      0.00 31763604 16593052   8.44  python3
04:02:05 PM 20001     18280    591.00      0.00 31763604 17645724   8.97  python3
04:02:06 PM 20001     18280   1403.00      0.00 31763604 18700444   9.51  python3
04:02:07 PM 20001     18280    569.00      0.00 31763604 19751068  10.04  python3
04:02:08 PM 20001     18280    514.00      0.00 31763604 20801692  10.58  python3
04:02:09 PM 20001     18280    494.00      0.00 31763604 21811356  11.09  python3
04:02:10 PM 20001     18280  13117.00      0.00 31785928 21985664  11.18  python3
04:02:11 PM 20001     18280  15103.00      0.00 31823880 22058244  11.21  python3
04:02:12 PM 20001     18280  13737.00      0.00 31860992 22130768  11.25  python3
04:02:13 PM 20001     18280  15668.00      0.00 31901172 22208064  11.29  python3
04:02:14 PM 20001     18280  12572.00      0.00 31937856 22276924  11.33  python3
04:02:15 PM 20001     18280 150880.00      0.00 31966676 22332152  11.35  python3
04:02:16 PM 20001     18280 394208.00      0.00 31966676 22332152  11.35  python3
04:02:17 PM 20001     18280   3524.00      0.00 31977404 22350548  11.36  python3
04:02:18 PM 20001     18280  11861.00      0.00 32014728 22414268  11.40  python3
04:02:19 PM 20001     18280  12426.00      0.00 32052936 22482508  11.43  python3
04:02:20 PM 20001     18280  11550.00      0.00 32090128 22545064  11.46  python3
04:02:21 PM 20001     18280  11916.00      0.00 32127316 22611872  11.50  python3
04:02:22 PM 20001     18280  11889.00      0.00 32164752 22682328  11.53  python3
04:02:23 PM 20001     18280  12084.00      0.00 32202824 22749952  11.57  python3
