Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/15/2023 	_x86_64_	(40 CPU)

12:14:36 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:16:14 AM 20001     22776  15004.00      0.00 27384996 14131280   7.18  python3
12:16:15 AM 20001     22776  15188.00      0.00 27423996 14260588   7.25  python3
12:16:16 AM 20001     22776 113956.00      0.00 27456116 14371892   7.31  python3
12:16:17 AM 20001     22776  65821.00      0.00 27473780 14434480   7.34  python3
12:16:18 AM 20001     22776  13263.00      0.00 27510936 14549120   7.40  python3
12:16:19 AM 20001     22776  13847.00      0.00 27549204 14669472   7.46  python3
12:16:20 AM 20001     22776  13409.00      0.00 27587868 14789600   7.52  python3
12:16:21 AM 20001     22776  13009.00      0.00 27627128 14905224   7.58  python3
12:16:22 AM 20001     22776  12658.00      0.00 27663728 15020856   7.64  python3
12:16:23 AM 20001     22776  14833.00      0.00 27707652 15142280   7.70  python3
12:16:24 AM 20001     22776  13078.00      0.00 27744892 15264924   7.76  python3
12:16:25 AM 20001     22776  13217.00      0.00 27783548 15386700   7.82  python3
12:16:26 AM 20001     22776   4436.00      0.00 27797100 15424776   7.84  python3
12:16:27 AM 20001     22776  12760.00      0.00 27833736 15539408   7.90  python3
12:16:28 AM 20001     22776  12640.00      0.00 27871068 15653400   7.96  python3
12:16:29 AM 20001     22776  13284.00      0.00 27909776 15775892   8.02  python3
12:16:30 AM 20001     22776  12171.00      0.00 27948192 15885336   8.08  python3
12:16:31 AM 20001     22776  12321.00      0.00 27986080 15996500   8.13  python3
12:16:32 AM 20001     22776  12721.00      0.00 28024376 16107672   8.19  python3
12:16:33 AM 20001     22776  12668.00      0.00 28062812 16220440   8.25  python3
12:16:34 AM 20001     22776   9061.00      0.00 25295604 7917292   4.03  python3
12:16:35 AM 20001     22776   1080.00      0.00 25295604 8947436   4.55  python3
12:16:36 AM 20001     22776    565.00      0.00 25295604 10014444   5.09  python3
12:16:37 AM 20001     22776    532.00      0.00 25295604 11099884   5.64  python3
12:16:38 AM 20001     22776    535.00      0.00 25295604 12183276   6.19  python3
12:16:39 AM 20001     22776    602.00      0.00 25295604 13250284   6.74  python3
12:16:40 AM 20001     22776  17855.00      0.00 25318548 13562056   6.90  python3
12:16:41 AM 20001     22776  20910.00      0.00 25357820 13675280   6.95  python3
12:16:42 AM 20001     22776  19818.00      0.00 25394424 13781908   7.01  python3
12:16:43 AM 20001     22776  74546.00      0.00 25427572 13878700   7.06  python3
12:16:44 AM 20001     22776 260189.00      0.00 25427572 13878700   7.06  python3
12:16:45 AM 20001     22776  14073.00      0.00 25460840 13978836   7.11  python3
12:16:46 AM 20001     22776  15687.00      0.00 25499388 14093624   7.17  python3
12:16:47 AM 20001     22776  15494.00      0.00 25537704 14205036   7.22  python3
12:16:48 AM 20001     22776  15713.00      0.00 25575348 14308888   7.27  python3
12:16:49 AM 20001     22776  14748.00      0.00 25612464 14416532   7.33  python3
12:16:50 AM 20001     22776  14758.00      0.00 25651084 14522320   7.38  python3
12:16:51 AM 20001     22776  14757.00      0.00 25689760 14626728   7.44  python3
12:16:52 AM 20001     22776  13982.00      0.00 25727536 14723988   7.49  python3
12:16:53 AM 20001     22776  13908.00      0.00 25766352 14830860   7.54  python3
12:16:54 AM 20001     22776  13912.00      0.00 25803368 14931724   7.59  python3
12:16:55 AM 20001     22776  14109.00      0.00 25841164 15029216   7.64  python3
12:16:56 AM 20001     22776  15819.00      0.00 25878416 15132584   7.69  python3
12:16:57 AM 20001     22776  15864.00      0.00 25915832 15230792   7.74  python3
12:16:58 AM 20001     22776  22608.00      0.00 25947668 15316420   7.79  python3
12:16:59 AM 20001     22776   4575.00      0.00 25951148 15324060   7.79  python3
12:17:00 AM 20001     22776  15308.00      0.00 25989048 15419060   7.84  python3
12:17:01 AM 20001     22776  15702.00      0.00 26026836 15512972   7.89  python3
12:17:02 AM 20001     22776  14630.00      0.00 26063840 15609800   7.94  python3
12:17:03 AM 20001     22776  14818.00      0.00 26100864 15704512   7.98  python3
12:17:04 AM 20001     22776  16753.00      0.00 26139036 15800792   8.03  python3
12:17:05 AM 20001     22776  15719.00      0.00 26176300 15891748   8.08  python3
12:17:06 AM 20001     22776  16124.00      0.00 26214868 15978484   8.12  python3
12:17:07 AM 20001     22776  16257.00      0.00 26250728 16060912   8.17  python3
12:17:08 AM 20001     22776  15548.00      0.00 26288620 16148324   8.21  python3
12:17:09 AM 20001     22776  15326.00      0.00 26325372 16235380   8.25  python3
12:17:10 AM 20001     22776  19270.00      0.00 26365292 16318772   8.30  python3
12:17:11 AM 20001     22776  17897.00      0.00 31588212 10443528   5.31  python3
12:17:12 AM 20001     22776    889.00      0.00 31588212 11418448   5.81  python3
12:17:13 AM 20001     22776    565.00      0.00 31588212 12483408   6.35  python3
12:17:14 AM 20001     22776    520.00      0.00 31588212 13546320   6.89  python3
12:17:15 AM 20001     22776    522.00      0.00 31588212 14611280   7.43  python3
12:17:16 AM 20001     22776    520.00      0.00 31588212 15674192   7.97  python3
12:17:17 AM 20001     22776    522.00      0.00 31588212 16739152   8.51  python3
12:17:18 AM 20001     22776    523.00      0.00 31588212 17808208   9.05  python3
12:17:19 AM 20001     22776    520.00      0.00 31588212 18869072   9.59  python3
